*****************************
Basic coeficients
*****************************
Alpha, Cd
   12.00    ,   -.1123E-02,   -.1426E-02,   -.2380E-02,   -.2013E-02,    .5676E-05,    .3660E-02,    .8966E-02,    .1257E-01,    .1553E-01
   14.00    ,   -.3786E-02,   -.3951E-02,   -.4162E-02,   -.2904E-02,    .7458E-05,    .4551E-02,    .1075E-01,    .1484E-01,    .1816E-01
   16.00    ,   -.6666E-02,   -.6682E-02,   -.6089E-02,   -.3868E-02,    .9385E-05,    .5514E-02,    .1268E-01,    .1730E-01,    .2100E-01
   18.00    ,   -.9474E-02,   -.9344E-02,   -.7967E-02,   -.4807E-02,    .1126E-04,    .6453E-02,    .1455E-01,    .1969E-01,    .2377E-01
   19.00    ,   -.1083E-01,   -.1063E-01,   -.8872E-02,   -.5259E-02,    .1216E-04,    .6906E-02,    .1546E-01,    .2085E-01,    .2511E-01
   20.00    ,   -.1209E-01,   -.1183E-01,   -.9719E-02,   -.5683E-02,    .1301E-04,    .7329E-02,    .1631E-01,    .2193E-01,    .2636E-01
   21.00    ,   -.1342E-01,   -.1308E-01,   -.1061E-01,   -.6126E-02,    .1391E-04,    .7773E-02,    .1719E-01,    .2306E-01,    .2767E-01
   22.00    ,   -.1468E-01,   -.1428E-01,   -.1145E-01,   -.6548E-02,    .1475E-04,    .8195E-02,    .1804E-01,    .2413E-01,    .2891E-01
   24.00    ,   -.1718E-01,   -.1665E-01,   -.1312E-01,   -.7385E-02,    .1642E-04,    .9031E-02,    .1971E-01,    .2626E-01,    .3138E-01

DeltaElev, CL_Elev
  -20.00    ,   -.1559    
  -15.00    ,   -.1478    
  -10.00    ,   -.1043    
  -5.000    ,   -.5213E-01
    .000    ,    .1043E-03
   5.000    ,    .5213E-01
   10.00    ,    .1043    
   13.00    ,    .1328    
   16.00    ,    .1538    

DeltaElev, Cm_Elev
  -20.00    ,    .4453    
  -15.00    ,    .4206    
  -10.00    ,    .2968    
  -5.000    ,    .1484    
    .000    ,   -.2968E-03
   5.000    ,   -.1484    
   10.00    ,   -.2968    
   13.00    ,   -.3779    
   16.00    ,   -.4381    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   13.00    ,     .000    
   16.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,    .1596E-02
  -15.00    ,    .1596E-02
  -10.00    ,    .1596E-02
  -5.000    ,    .1596E-02
    .000    ,    .1596E-02
   5.000    ,    .1596E-02
   10.00    ,    .1596E-02
   13.00    ,    .1596E-02
   16.00    ,    .1596E-02

DeltaElev, Chd_Elev
  -20.00    ,    .1093E-01
  -15.00    ,    .1100E-01
  -10.00    ,    .1102E-01
  -5.000    ,    .1102E-01
    .000    ,    .1102E-01
   5.000    ,    .1102E-01
   10.00    ,    .1102E-01
